sampleID	Lactobacillus iners (OTU 1)	Lactobacillus crispatus (OTU 2)	Gardnerella vaginalis (OTU 3)	Lactobacillus jensenii (OTU 581)	Lactobacillus sp. (OTU 8)	Lactobacillus gasseri (OTU 479)	 Atopobium vaginae (OTU 5)	Megasphaera genomosp (OTU 7)	Lactobacillus sp. (OTU 30)	Lactobacillus iners (OTU 501)	 Bifidobacteriaceae(f) (OTU 590)	Low Mean Abundance (<= 0.1)
W218	0.0509988574594052	0.887650174843333	3.46224422670775e-05	0.0256206072776374	0.0186268739396877	6.9244884534155e-05	0	0	0.00432780528338469	0.00013848976906831	0	0.0125333241006821
W234	0.000276529554096094	0.951296232284825	0.0124783961285862	0.0134462495679226	0.011787072243346	0	3.45661942620118e-05	3.45661942620118e-05	6.91323885240235e-05	0	6.91323885240235e-05	0.0105081230556516
W213	0.994519597641346	0.000520291363163372	0.000277488727020465	6.93721817551162e-05	0.000312174817898023	0	3.46860908775581e-05	6.93721817551162e-05	0.000485605272285813	0.000242802636142907	0	0.00346860908775581
W206	0.993457264513449	0.000450029425000865	0.000138470592307959	0	0.000242323536538928	0	0.000103852944230969	0	0.000450029425000865	0.000207705888461938	0	0.00495032367500952
W205	0.00877890298275326	0.978882245187156	0.000518439152524799	3.45626101683199e-05	0.000311063491514879	6.91252203366398e-05	3.45626101683199e-05	0.000276500881346559	0.00228113227110911	3.45626101683199e-05	0.00013825044067328	0.00864065254207998
W240	0.00214674007132717	0.978151726048267	0.000207749039160694	6.92496797202313e-05	0.00055399743776185	0	0	0	0.00131574391468439	0.00148886811398497	3.46248398601156e-05	0.0160313008552335
W212	0.912824986913279	0.0146571279008899	0.00924794974699005	0.0187750828825685	0.0201361019019368	0	0.000977141860059326	0.00125632524864771	0.0126679462571977	0.000453673006456116	0.000104693770720642	0.00889897051125458
W219	0.262733932849554	0.339016006388667	0.000555536266101871	0.0111107253220374	0.0131592653032881	0.00170132981493698	0	3.4721016631367e-05	0.0269782299225721	0.30301031214194	6.94420332627339e-05	0.041630498941009
W237	0.954387428730357	0.000591016548463357	0.000451953831177861	6.95313586427479e-05	0.000695313586427479	0	3.47656793213739e-05	0.0163398692810458	0.000521485189820609	0.000208594075928244	3.47656793213739e-05	0.0266652760394938
W217	0.00699542872974096	0.96384540795124	0.00135060257653415	0.00477905527081313	0.00661448954148774	0.000242415847070231	0.000900401717689431	0.0013159717412384	0.00183543427067461	0	0.00114281756475966	0.0109779747887519
W236	0.00524014436424209	0.00506662965019434	0.233377290394225	0.52932398667407	0.18361327040533	0	0.00173514714047751	0.00319267073847862	0.00274153248195447	0	0.00107579122709606	0.0346335369239311
W221	0.000588113194492493	0.963813741091815	0.000103784681381028	3.45948937936761e-05	0.000415138725524113	6.91897875873521e-05	0	0	0.00017297446896838	0	0	0.0348024631564381
W203	0.821739695748277	0.00242707927014259	0.0240540891951632	4.33407012525463e-05	0.000260044207515278	0.00294716768517315	0.0207168551987171	0.00255710137390023	0.00533090625406319	0.000476747713778009	0.00563429116283101	0.113812681489186
W244	0.776864662436284	0.000658830056520684	0.000208051596796005	0.0870349179929956	0.0771524671451853	3.46752661326676e-05	3.46752661326676e-05	3.46752661326676e-05	0.0524290023925934	0.000381427927459343	3.46752661326676e-05	0.0051319393876348
W242	0.818803780505008	0.000423190859077444	0.0178445478910989	0.0611863450416138	0.0493370009874453	0.000423190859077444	0.00137537029200169	0	0.0304344759486528	0.000528988573846805	0.000458456764000564	0.0191846522781775
W202	0.734933873050215	0.154587011899361	0.00928219981156436	0.00624629235439858	0.00669993369857277	0.000558327808214398	0.00338486233729979	0.00666503821055937	0.0184597131590885	0.000348954880133999	0.00645566528247898	0.0523781275081132
W243	0.000346188465000346	0.000415426158000415	6.92376930000692e-05	3.46188465000346e-05	0.000103856539500104	0.447448591012947	0	3.46188465000346e-05	0.117288651942117	0	3.46188465000346e-05	0.434224191649934
W228	0.129640267107058	0.000825734185395275	0.0520930566525454	0.000179507431607669	0.000143605945286135	0.000143605945286135	0.0977956487398578	0.149278380124937	0.000179507431607669	3.59014863215337e-05	0.198391613412795	0.371293171537302
