# Pathway	215	244	239	232	208	221	237	241	220	202	206	224	210	212	217	234	228	236	222	240	207	245	238	214	211	223	219	242	231	227	216	229	218	235	205
AMMASSIM-PWY	65.06956297	8.958622549	1007.402457	16.63735657	523.3757213	33.632287	72.2462258	55.77317175	14.08465588	55.57619693	50.07473842	31.86859204	43.34828102	19.32900818	58.29596413	8.179218565	480.1455647	171.0665861	81.3702051	137.5749149	26.15844544	23.82894909	21.76336384	39.87574832	1045.571325	46.93131187	90.43516233	56.55575361	11.0757059	76.17205408	496.1299289	43.19381122	14.09300681	93.20005211	37.68960167
ANAEROFRUCAT-PWY	29.93162627	20.70186415	585.0570224	21.46635002	255.8542045	52.75072342	66.30401288	90.95139014	23.09557623	89.69910403	110.304908	40.57300876	68.36211414	30.45341628	78.80407598	14.19383417	399.225622	85.25077511	48.47852855	87.35555797	44.80732345	51.415838	41.28704199	35.16783277	565.4030264	105.8871523	118.7893042	85.95682575	19.18544006	84.11058485	290.8053738	77.86086944	24.95732599	113.9580281	58.64056518
ANAGLYCOLYSIS-PWY	29.54410507	20.19476816	601.4263395	22.70877256	261.9968454	47.26399445	69.51437783	79.70545948	23.32378099	87.09818346	112.6287375	36.00275648	55.85419411	31.77952255	68.32052478	14.6867122	411.3863938	88.05482736	49.46318996	89.79497126	41.25026792	54.2167759	42.54856561	36.40042057	577.0907403	109.7359536	114.9354071	86.65947232	20.44382755	73.16687148	290.8278884	81.69203636	22.79493482	102.8415387	51.62295759
ANARESP1-PWY	0	0	0	0	0	0	0	0	0	23.34535672	0	0	0	0	0	0	119.1973155	0	0	19.82458051	0	0	0	0	0	0	0	0	0	0	50.30152578	0	0	0	0
ARABCAT-PWY	2.087325328	0	96.76142407	0	25.68017613	0	0	0	0	0	0	0	16.83464656	0	0	0	34.33633771	0	0	6.486645469	0	0	0	0	81.21124496	0	20.39911257	4.60063297	0	0	16.65942105	0	0	0	0
ARG+POLYAMINE-SYN	15.14304418	8.631309722	274.8763529	2.165248356	122.1695627	0	20.0821921	18.7187719	1.674260683	9.72101248	0	0	17.65610099	0	0	0	130.7765397	0	0	45.05355967	9.409884317	3.399871711	2.859569783	8.487801047	259.6808468	0	13.25039805	6.588402137	0	18.18081784	141.8699295	0	0	0	0
ARG-GLU-PWY	0	0	0	0	0	0	0.341699254	1.028806584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941619586	0	0	0	0	0	0
ARG-PRO-PWY	0	0	0	0	0	0	0	0.721239145	0	0	0	0	0	0	0	0	4.405360414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGASEDEG-PWY	0	0	0	0	0	0	0	0.750368219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGDEG-III-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.845361648	0	0	4.943544959	0	0.390283218	0	0	4.131445888	0	0	1.601957668	0	0	0	0	0	0	0
ARGDEG-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.096881969	0	0	0	0	0.034582544	0	0	0	0	0	0	0	0	0.036003741	0	0	0	0
ARGDEG-V-PWY	0	0	0	0	0.075192817	0	0	0.538840667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047902356	0	0	0	0
ARGDEGRAD-PWY	0	0	46.04089451	1.405501955	18.99358151	0	33.44791619	0	0.906499959	3.236836203	0	1.532192026	0.602829681	3.408286237	1.504625488	8.091825628	99.68343136	12.29132386	14.95297913	12.85637565	1.558315975	8.749005656	0	27.51828116	39.42164581	1.904503951	6.355220994	3.970859048	11.7564245	2.315390062	13.48070424	2.22049788	1.250787013	3.386448348	1.135415835
ARGININE-SYN4-PWY	21.53606396	8.391510004	414.5922849	2.275888107	207.9379759	0	16.85478119	0.305031137	0.827536481	3.096338634	0	0.83020065	0.485446695	0	0	0.804217761	239.5963175	71.51483409	23.87888603	58.48554596	0	0	0.896231392	2.522171461	409.8556888	1.634207026	0	2.067885054	0	0	180.6097335	0	0	1.218772788	0
ARGORNPROST-PWY	0	0	18.11304674	0.401571987	0	0.116466884	0	0	0	0	0	0.43776915	0.172237052	0	0.430897023	0	40.81543907	0	0	4.966587472	0	0	0	0	0	0.544143986	0	0	0	0.805986244	0	0	0	0	0
ARGSPECAT-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.248698792	0	0	0	0	0	0	0.470221264	0	0	1.149425287	0	0	0	0	0
ARGSYN-PWY	19.09799915	10.90067588	350.5044818	0	161.6919401	0	0	0	0	9.585205617	0	0	0	0	0	0	168.7026974	0	0	55.2767457	0	0	1.325343243	8.233919631	349.0534282	0	0	4.839121859	0	0	0	0	0	0	0
ARGSYNBSUB-PWY	19.09799915	10.90067588	350.5044818	0	161.6919401	0	0	21.94165679	0	9.585205617	0	0	0	0	0	0	168.7026974	0	0	55.2767457	0	0	1.325343243	8.233919631	349.0353154	0	0	4.839121859	0	0	0	0	0	0	0
