	103756	106769	111047	119267	122974	226303	226874	227761	230844	231284	233868	235827	236256	236738	237533	239925	251073	258708	258753	267434	270524	270558	272237	272747	276826	276844	276877	277188	282940	283505	299967	305989	307975	311595	311867	312343	312444	316216	320150	320410	320952	328380	328867	335608	341330
tyrosine	0.176077729	0.192576687	0.174146291	1.929677212	2.854604707	4.472263326	2.249776374	3.283982348	1.599091171	0.549884171	1.395774138	3.81764508	2.049193106	3.935729835	0.654076379	1.509084188	0.739588698	1.049996961	0.766818705	3.010423912	0.231311752	2.96680516	4.141224578	4.522053308	1.386908933	3.695736527	4.962275298	5.480449521	0.266325875	1.695102447	2.782682686	1.093146835	3.316254242	1.942610548	0.320057876	2.794597906	0.187940914	6.688490626	0.798612282	0.383275942	3.890986156	1.86700137	1.124948633	1.218552918	1.076855038
tyramine	0.976903148	1.620317331	0.893479831	0.211758715	0.40347326	2.30627893	0.429216895	0.528430737	0.218780334	0.106780267	0.729369312	0.854817634	0.918435157	0.711751929	0.146287532	0.877066789	0.07623612	0.13097084	1.193129601	0.525949715	3.387383591	0.583410408	0.652252674	1.31721507	1.494325565	0.824235354	0.731775789	1.043976501	2.685218666	0.993157861	0.512106112	0.68563609	1.312078828	0.801216376	3.904912133	0.407191502	3.922459322	1.830506565	0.329751627	0.601694633	1.285093245	0.410003407	0.438150594	0.367791886	0.150285754
tryptophan	0.036548132	0.026131511	0.025327556	0.443160988	1.210262828	1.699076024	0.864618921	0.997254103	0.422093507	0.11480278	0.544648939	1.342987109	0.773238892	1.091324048	0.181051909	0.392006182	0.161063683	0.206687486	0.502038221	1.003090466	0.46414217	0.94316373	0.566261361	1.640009495	0.834435514	0.727229435	2.016005376	2.068571011	0.068686649	0.670124849	0.972743427	0.459122855	1.014215223	0.948985152	0.861729503	0.734591109	0.034643739	1.941687539	0.279640761	0.166389087	1.330148666	0.838610386	0.660572646	0.606712796	0.281955597
tocopherol delta- NIST	1.546926625	0.01914856	0.4030228	0.00460846	0.139792603	0.008280858	0.025000403	0.008935109	0.04021462	0.02860741	0.432527969	0.503222139	0.003912657	0.003717044	0.015424056	0.210814102	1.229042183	0.018510991	0.013363645	0.016480949	0.014142573	0.012699223	0.012150346	0.071272273	0.009034553	0.004535342	0.005580911	0.006244654	0.270949015	0.076713624	1.16806667	0.086947463	0.005915861	0.036196313	0.018773066	0.010172438	0.006074968	0.005326401	0.037095741	0.008715619	1.491447073	0.024039681	0.01179594	0.04802179	0.019571864
threonine	0.175097886	0.156679956	0.083513876	0.142228582	0.150779297	0.23600445	0.157694849	0.276208803	0.133870951	0.047886317	0.496106144	0.237832092	0.383195871	0.329082274	0.10712489	0.442327198	0.059674301	0.084191558	0.040462149	0.61475091	0.066821286	0.535860807	0.256151389	0.355211814	0.168557445	0.527674403	0.214329524	0.334088976	0.046066286	0.485474857	0.14419121	0.317603872	0.163396083	0.449385957	0.6758876	0.807856179	0.076675952	0.84873449	0.285805821	0.225866583	0.156849184	0.42764056	0.260717709	0.302762378	0.049810143
threonic acid	0.013227876	0.006764733	0.0059837	0.003917191	0.01564296	0.00444046	0.012526189	0.020029036	0.01946729	0.018594816	0.005768676	0.002952638	0.011187754	0.020753494	0.012291045	0.001942428	0.040421188	0.048005915	0.030704566	0.009392988	0.010013701	0.038851503	0.03877065	0.004483256	0.045015185	0.003212534	0.022774626	0.00418274	0.01029199	0.010327982	0.024864424	0.014264356	0.006625764	0.00883798	0.004407092	0.004468816	0.009358735	0.004040718	0.003056183	0.009666414	0.015149885	0.002597252	0.011137562	0.00193838	0.01197456
threitol	0.019694838	0.059736961	0.039874136	0.002073807	0.014021114	0.003300342	0.009407636	0.004317637	0.011360364	0.005908052	0.000736427	0.003763166	0.002384276	0.018894972	0.002048507	0.001456821	0.013456477	0.037189251	0.022803046	0.008413351	0.016705321	0.015830538	0.007511123	0.024772863	0.007301179	0.066266381	0.004848064	0.002827768	0.054487005	0.001014888	0.003648279	0.001716458	0.005679227	0.002251715	0.001602579	0.002175608	0.063923992	0.005632516	0.003161569	0.019544115	0.003604434	0.001147623	0.00340162	0.002251021	0.018213406
taurine	0.384686235	0.437416396	0.298720726	0.240158347	0.586689463	0.991182687	0.205200811	0.718466711	0.114670336	0.223884078	0.357351073	0.408969304	0.949063927	0.697751065	0.339088233	0.207718358	0.037936915	0.111121705	0.054939431	0.170975436	0.652314328	0.179818674	0.642256253	0.736575954	0.607993899	0.410259447	0.600708945	0.550413208	0.414376424	0.370135774	0.309261802	0.572349878	0.562184278	0.463008831	0.536234306	0.11918804	0.230629881	1.392149864	0.160923853	0.196233479	0.982489774	0.573932288	0.144459118	0.341780083	0.057860267
sulfuric acid	0.003870379	0.018657571	0.020117611	0.003398739	0.007272145	0.007860814	0.00670489	0.005457013	0.006506875	0.005099582	0.005707307	0.00202632	0.001956329	0.017717909	0.024401339	0.005463078	0.007504574	0.020796987	0.000848485	0.018267345	0.01143745	0.006958478	0.016347738	0.001436941	0.011503297	0.006299086	0.001803931	0.001178237	0.006439373	0.022506643	0.005781119	0.008996606	0.00212971	0.029384877	0.024267621	0.007291227	0.010124947	0.020326037	0.008852393	0.013628059	0.013066072	0.016670734	0.018873504	0.004752156	0.022137841
sucrose	0.007789749	0.006655625	0.003868771	0.001612961	0.026263431	0.011701212	0.017048092	0.008635273	0.010987018	0.013930565	0.004111716	0.005152643	0.005868986	0.013009653	0.004097015	0.002245932	0.019046091	0.022692691	0.015219707	0.00455243	0.022969817	0.011945388	0.0057438	0.008736601	0.018962056	0.026897096	0.021083441	0.004123828	0.011172588	0.002089476	0.012853167	0.006925019	0.011240136	0.017788546	0.001602579	0.007467628	0.013572902	0.006061077	0.004742353	0.020864663	0.007321506	0.005134103	0.00850405	0.00306389	0.019370611
succinic acid	0.133258604	1.03713184	0.875012896	0.288143931	0.138223075	0.122412682	0.079003352	0.056788914	0.142991242	0.044092725	0.201228605	0.109189709	0.035825268	0.127308749	0.053261194	0.143071937	0.082964358	0.221016778	0.041575786	0.191835937	0.808214842	0.07004868	0.017065713	0.042878319	0.035140209	0.282010063	0.017588325	0.146572628	0.144803343	0.033730115	0.33019731	0.088959862	0.04513802	0.079035185	0.050309527	0.207153164	2.27789423	0.019224023	0.107071797	0.24382604	0.019768066	0.366876943	0.050530516	0.183145602	0.088752618
stearic acid	2.660664804	3.808163069	2.911688848	2.84278586	11.43029492	4.781835398	12.87370015	9.316500148	7.828090499	8.506910866	1.292122075	6.809767326	2.163026978	1.637729481	3.109453561	1.577129857	11.73327192	2.480863147	15.41586657	2.348765686	8.202217916	5.220772217	2.798003809	3.786971773	2.362850759	3.62165928	5.185680849	7.091334541	8.796238966	1.740056034	7.861816663	3.265294526	10.27620564	3.284745083	1.550666673	1.79487662	1.006036658	2.934112416	3.202405743	3.848183427	11.98530517	1.54077444	4.086607438	1.648122836	5.269359668
sorbitol	0.021311578	0.005018996	0.005467863	0.075809159	0.05017257	0.018481915	0.020686404	0.038139123	0.043361388	0.049565447	0.009573548	0.212705722	0.028183359	0.071553092	0.042235404	0.005827283	0.05118637	0.182489383	0.061090951	0.199096775	0.018556195	0.044824197	0.008836615	0.070467586	0.018646897	0.009259656	0.016968224	0.097911458	0.016951513	0.008417604	0.023180603	0.006273949	0.019522342	0.021503875	0.017571132	0.02157968	0.00295539	0.050019193	0.191696456	0.023664226	0.019655427	0.013107062	0.008778374	0.005189855	0.032753942
serine	0.23143884	0.311886946	0.220210461	1.042260726	0.195615472	0.733756017	0.174898868	0.464685631	0.24592787	0.102302586	0.502733984	0.41881143	0.798610029	0.719929426	0.568039066	1.2571149	0.151437126	0.159629423	0.12981827	1.087051103	0.112808378	1.030608606	0.746914917	0.483042085	0.55320879	0.63557774	0.480634803	0.538277371	0.073364826	1.307474773	0.243087634	0.555481241	0.399024829	0.956640982	1.385829998	1.887545761	0.070765172	0.587128598	0.21351128	0.538519602	0.382464205	1.241124042	0.655250757	0.887902886	0.137606809
saccharic acid	0.00205767	0.001200195	0	0.002822681	0.00868472	0.003540367	0.009979371	0.002278753	0.002666752	0.002985121	0.000920533	0.003705271	0.0010393	0.006752629	0.001205004	0.001214017	0.003260608	0.0097573	0.01564395	0	0.005552621	0.008988034	0.005578113	0.00413839	0.008876974	0.000818881	0.005073555	0.005066417	0.002421645	0.002208875	0.005388227	0.00165727	0.002721296	0.003152401	0.001602579	0.006350423	0.00295539	0.003489711	0.002581948	0.011884935	0.004505542	0.001087222	0.002962701	0.001813323	0.0170562
ribose	0.091125369	0.195795391	0.091045084	0.112619229	0.163492471	0.02712281	0.143713334	0.627856311	0.283849083	0.072389185	0.059650566	0.111042345	0.171973514	0.453045684	0.209670763	0.054023769	0.169189325	0.122997732	0.126106147	0.133749237	0.612781564	0.144620372	0.206666343	0.205080219	0.269565848	0.194074828	0.284175468	0.094848043	0.183824845	0.105608094	0.18387326	0.202956332	0.090571833	0.121085957	0.155564611	0.088259125	0.264014843	0.354175072	0.042628486	0.080342159	0.161185769	0.082387249	0.093379954	0.063466298	0.020527816
ribonic acid	0.000979843	0.003491475	0.003352935	0.001440144	0.010986694	0.006120634	0.011226792	0.005037243	0.009013622	0.003917971	0.000736427	0.002894743	0.001650652	0.003345339	0.001205004	0.001456821	0.021375097	0.011597248	0.006575762	0.007606592	0.007403495	0.001159746	0.010603938	0.006437496	0.009034553	0.00075589	0.005186301	0.004064916	0.003907654	0.001492483	0.001010293	0.001775646	0.005915861	0.000900686	0.001488109	0.005056819	0.005418215	0.004959063	0.000474235	0.00464833	0.005237693	0.004288486	0.004224593	0.001500681	0.01152174
ribitol	0.008377655	0.030986844	0.01325699	0.007085507	0.026263431	0.005880609	0.003638312	0.025905819	0.025547484	0.02941588	0.032341407	0.084700183	0.055755366	0.02465639	0.023678336	0.003338548	0.008487932	0.05475239	0.352121452	0.012965781	0.092780976	0.07004868	0.049705962	0.14076274	0.069072309	0.144564015	0.010654466	0.046245785	0.047222071	0.049610134	0.042712928	0.041194986	0.012896577	0.002195422	0.008814183	0.05962342	0.07788	0.013407838	0.020655583	0.22058439	0.010193789	0.008939379	0.316570114	0.002751248	0.031143918
pyruvic acid	0.07187146	0.193667773	0.121273084	0.043146702	0.019357509	0.022502331	0.020686404	0.020268905	0.016160517	0.006778712	0.056459383	0.026110583	0.061379811	0.054764445	0.028377853	0.011593865	0.043112483	0.052856686	0.058227312	0.044948042	0.024108816	0.042446717	0.100185127	0.041268945	0.025475338	0.164847071	0.029877603	0.085657798	0.030215521	0.017193404	0.025874717	0.031014616	0.028396133	0.032875034	0.03313904	0.022050081	0.092547491	0.003428488	0.049583938	0.257454099	0.047533469	0.113795878	0.024908636	0.084851001	0.080450928
putrescine	2.962701309	4.58256139	3.630712886	0.439992673	0.0820863	0.103510724	0.077600003	0.108600552	0.19323285	0.137813088	0.100338143	0.106584441	0.06345841	0.150788075	0.062660228	0.070048797	0.094505876	0.457812503	1.128432588	0.122281724	8.500920454	0.155464	0.055781135	1.608914092	1.743616195	6.396406498	0.171486168	0.147220658	8.61412028	0.119935931	0.073919745	0.061851667	0.096842646	0.185316118	7.792825484	0.152351362	12.59182233	0.046529482	0.083412724	0.338166012	0.054629698	0.034670294	0.047019166	0.055150024	0.067570729
pseudo uridine	0.010778269	0.021057961	0.006809037	0.019528347	0.131264835	0.055865788	0.048389553	0.123412444	0.048161541	0.055535689	0.010371343	0.029642169	0.02830563	0.134061378	0.035125878	0.006434292	0.061175216	0.218005954	0.129977361	0.026680697	0.019837569	0.100376048	0.029436975	0.092366567	0.059459965	0.153823671	0.031456043	0.127013901	0.016841438	0.005850533	0.040692342	0.009174171	0.035140215	0.022291975	0.019688825	0.020462475	0.01576208	0.065569836	0.006217752	0.053772727	0.034580036	0.026697334	0.021836205	0.024073423	0.051420168
"propane-1,3-diol NIST"	0.144281834	0.084995603	0.120911998	0.114693036	0.093857758	0.066966938	0.057641261	0.054809997	0.032267699	0.02985121	0.10770241	0.073410685	0.092069716	0.101661147	0.057478709	0.07235543	0.057759341	0.106940005	0.039295481	0.151036946	0.037824265	0.123281038	0.124872421	0.035291271	0.06339945	0.038739377	0.067478285	0.049368112	0.037260305	0.077847911	0.050177868	0.08771691	0.08217131	0.05910751	0.037775071	0.107663197	0.027036346	0.039611283	0.090473561	0.105749509	0.040775156	0.06293806	0.075274557	0.152756813	0.099821539
proline	0.802834097	4.749224783	4.398225524	0.381061996	0.101757714	0.137714267	0.110032958	0.208146061	0.102136602	0.035199552	0.849284132	0.119147626	0.572592936	0.345437267	0.333725964	0.788504228	0.050047745	0.075549378	0.01723486	0.715884004	0.046414217	0.403881671	0.1033884	0.297159398	0.140613362	1.167031594	0.076385193	0.164364	1.957899708	0.412940185	0.083124633	0.483330828	0.133225191	0.682213255	1.023876134	0.512267489	2.586075735	0.472090576	0.342819445	2.44824375	0.130604402	0.520054409	0.361559281	0.471588984	0.042866911
phosphoethanolamine	0.002645575	0.024822208	0.004745693	0.003917191	0.004028454	0.004200435	0.022297657	0.003897866	0.003413443	0.006343382	0.006075521	0.001852636	0.011615701	0.024036883	0.047597673	0.012382976	0.01557846	0.017730407	0.008750006	0.029273853	0.026719023	0.005972694	0.030431094	0.001551896	0.053787106	0.004913287	0	0.001590619	0.011667924	0.009372793	0.004097298	0.020597493	0.005797544	0.043345508	0.039778295	0.006174023	0.032180914	0.000734676	0.006797373	0.027731515	0.019261192	0.015221105	0.017611613	0.014068884	0.013131765
phosphate	18.41726992	11.88994651	18.27679769	8.255363959	10.68398449	6.762400585	12.80031019	9.148472126	10.52231005	12.46455946	10.05296136	5.92038646	6.647115607	5.199834468	11.01777683	9.934424856	20.85262311	8.969523214	10.74272702	12.02175716	9.245019133	11.65951007	10.11267789	2.261975035	13.5001434	3.049135388	8.313076694	3.924057941	9.639136419	8.420230666	10.57888646	18.1787673	9.747505133	11.42818381	5.417345855	11.72605685	5.410826579	1.702244374	14.39678321	15.41523585	6.560688807	5.264750579	14.57352739	6.471623999	17.11360788
phenylethylamine	0.061828073	0.287555727	0.15573094	0.001267326	0.007586051	0.002520261	0.011798527	0.005217144	0.004640148	0.008706603	0	0.003357902	0.000305676	0.003902896	0.001506255	0.000546308	0.008850222	0.00362414	0.01405304	0.010372625	0.670728148	0.003711188	0.00430785	0.003448658	0.004674856	0	0.006539249	0.006539213	0.916647541	0.000596993	0.00426568	0.000591882	0.008045571	0.001857665	0.317882948	0.001293605	1.305844557	0.001040791	0.003319647	0.008979729	0.003604434	0.001449629	0.002414053	0.001000454	0
phenylalanine	0.063199853	0.081940562	0.063344682	0.917083444	0.896775824	2.019149184	1.046794413	1.83931316	0.525776825	0.219219826	0.769688676	1.359834513	1.623263682	2.426981773	0.273174494	0.66157872	0.339103229	0.276549752	0.964197627	1.166632187	0.215887805	1.87855716	2.425209096	2.546144486	1.522007015	1.910701643	3.267031361	2.685142201	0.062412387	1.478871516	1.416879296	0.902738401	1.210385176	1.341740485	1.619291385	1.089450418	0.0966522	4.166225351	0.440459228	0.349417084	2.265837121	1.143998898	1.081331087	1.047100122	0.492667595
